V3RD,V4RD,V5RD,V3SRD,V4SRD,LSIRD,TanakaRD,V3IS,V4IS,V5IS,V3SIS,V4SIS,LSIIS,TanakaIS,Prop,Prop_class
-20.8054,-7.35132,-6.52723,-25.3753,-24.8284,0.0950149,0.813793,-22.2443,-20.6473,-7.1062,-29.7718,-29.1775,0.26982,1.21159,1.31422162,1
-23.2329,-20.4238,-4.91633,-24.5646,-22.0934,0.249521,1.2327,-23.9782,-20.8617,-5.58439,-22.6199,-22.6165,0.374337,1.43581,0.473165393,0
-15.8378,-12.3644,-9.15137,-23.477,-22.2482,0.0484736,0.611278,-20.9287,-18.6954,-6.86338,-27.5557,-21.6886,0.130008,0.86363,0.792186975,0
-19.1585,-17.3117,-7.27276,-23.9395,-23.2024,0.0495391,0.577387,-23.5,-20.556,-7.43918,-24.0204,-20.9826,0.1151,0.886818,0.324656904,0
-14.1478,-13.249,-7.38349,-26.0434,-21.233,0.201654,1.10953,-24.2195,-20.0061,-6.09177,-28.3409,-26.7849,0.204557,1.07019,1.75966811,1
-24.0791,-8.55666,-4.63264,-24.7305,-11.7397,0.0493627,0.647299,-22.6876,-22.2748,-6.23241,-27.7264,-24.3823,0.0695168,0.660953,0.265228629,0
-22.7194,-15.7483,-8.21482,-28.5292,-24.6693,0.191995,1.05798,-23.2397,-19.8997,-7.42998,-28.6103,-26.2743,0.257612,1.18499,0.445125967,0
-17.9096,-15.3153,-6.88872,-27.2939,-14.6752,0.145796,0.957111,-21.0851,-18.0487,-5.61966,-25.9357,-20.7956,0.203757,1.06157,0.739575863,0
-21.0956,-16.5994,-5.21184,-20.2492,-19.1719,0.167461,1.00075,-22.6059,-21.1812,-4.88648,-24.5714,-23.2674,0.327417,1.3358,0.437751323,0
-22.2217,-17.4651,-7.25213,-21.8074,-19.989,0.154769,0.957824,-23.0577,-21.5755,-6.29791,-24.8558,-23.3913,0.320414,1.3162,0.337547004,0
-21.5617,-19.1811,-6.79899,-26.3621,-18.407,0.176545,1.03561,-25.7226,-19.7603,-5.73577,-31.9209,-27.4192,0.213123,1.08561,0.26732558,0
-24.5387,-21.2932,-5.16176,-26.271,-22.099,0.117504,0.849084,-25.5204,-25.3918,-5.67362,-30.198,-24.1426,0.412565,1.49333,0.493618309,0
-20.0269,-15.4566,-7.9794,-22.0538,-21.9717,0.143905,0.895854,-23.437,-23.2065,-5.92765,-27.9089,-25.502,0.40186,1.46951,0.589269817,0
-19.0773,-17.9932,-13.7043,-27.4337,-24.4571,0.0380822,0.491212,-24.8825,-19.6542,-9.6748,-28.5952,-22.3394,0.109853,0.862206,1.11620855,1
-19.8087,-9.10705,-8.8987,-25.2519,-0.750848,0.0318066,0.390445,-19.6357,-13.6055,-9.10492,-25.8841,-8.26536,0.0741571,0.739233,0.367621601,0
-20.4273,-19.7396,-6.38985,-23.187,-22.4089,0.138971,0.928264,-24.2462,-22.0452,-6.01877,-29.8383,-24.9162,0.325973,1.3358,0.891901314,0
-16.3521,-16.1033,-8.50455,-24.8223,-20.2288,0.0717534,0.589817,-24.1416,-23.805,-12.589,-24.8403,-19.9112,0.0694852,0.634983,0.398539811,0
-23.2629,-22.6987,-8.17868,-23.6729,-19.7977,0.091472,0.896323,-22.6262,-22.4972,-6.98231,-24.1965,-22.3194,0.15184,0.928658,0.726837158,0
-21.1731,-21.0337,-6.21332,-25.1313,-24.5962,0.0343876,0.249835,-22.5537,-21.9561,-7.0694,-25.7978,-24.5223,0.0727531,0.76388,0.981197894,0
-21.117,-9.87351,-5.75039,-28.1819,-12.8216,0.189481,1.11651,-22.1275,-21.3523,-5.37802,-26.0353,-24.3786,0.363943,1.41297,0.292628795,0
-20.373,-19.7975,-7.1125,-23.9513,-23.1301,0.231547,1.13866,-22.232,-21.1897,-5.9068,-27.3511,-24.5586,0.198409,1.04206,0.300717711,0
-19.8898,-19.7171,-4.73722,-21.723,-7.88486,0.0385503,0.524393,-20.541,-16.5355,-5.13124,-24.7365,-4.70903,0.0643808,0.683948,0.39037922,0
-22.9654,-21.3091,-5.96837,-26.439,-22.5886,0.0486042,0.511438,-24.1054,-24.0834,-6.62308,-27.1922,-25.569,0.119651,0.868542,0.522726595,0
-18.7694,-18.282,-6.98131,-21.2983,-15.5584,0.166712,1.00958,-23.7516,-17.0482,-5.99823,-23.9312,-16.9708,0.218588,1.10207,0.83300674,0
-20.2695,-19.6386,-6.30312,-21.0261,-20.5315,0.17816,1.0355,-26.9727,-22.369,-6.31786,-31.0478,-24.6977,0.204391,1.0799,0.415623426,0
