Segment;Country; Product ; Discount Band ;Units Sold; Manufacturing Price ; Sale Price ; Gross Sales ; Discounts ; Sales ; COGS ; Profit ;Date;Month Number; Month Name ;Year
Corporate;Germany;Hybrid; None ;3376;$ 215,00;$ 311,75;$ 1.052.468,00;    ;$ 1.052.468,00;$ 762.132,00;$ 290.336,00;5/6/2017;6;June;2017
Retail Partner;Germany;Hybrid; High ;2816;$ 215,00;$ 311,75;$ 877.888,00;$ 219.472,00;$ 658.416,00;$ 635.712,00;$ 22.704,00;5/6/2017;6;June;2017
Public Sector;France;Hybrid; High ;2737;$ 215,00;$ 311,75;$ 853.259,75;$ 213.314,94;$ 639.944,81;$ 617.877,75;$ 22.067,06;5/7/2017;7; July ;2017
Individual;Finland;Hybrid; High ;2560;$ 215,00;$ 311,75;$ 798.080,00;$ 199.520,00;$ 598.560,00;$ 577.920,00;$ 20.640,00;5/7/2017;7; July ;2017
Corporate;Germany;Hybrid; High ;2532;$ 215,00;$ 311,75;$ 789.351,00;$ 197.337,75;$ 592.013,25;$ 571.599,00;$ 20.414,25;5/6/2017;6;June;2017
Small Business;Finland;Hybrid; High ;2394;$ 215,00;$ 311,75;$ 746.329,50;$ 186.582,38;$ 559.747,13;$ 540.445,50;$ 19.301,63;5/3/2017;3; March ;2017
Public Sector;Germany;Hybrid; Low ;2373;$ 215,00;$ 311,75;$ 739.782,75;$ 73.978,28;$ 665.804,48;$ 535.704,75;$ 130.099,73;5/6/2017;6;June;2017
Retail Partner;Germany;Hybrid; High ;2331;$ 215,00;$ 311,75;$ 726.689,25;$ 181.672,31;$ 545.016,94;$ 526.223,25;$ 18.793,69;5/3/2017;3; March ;2017
Public Sector;Finland;Hybrid; Medium ;2326;$ 215,00;$ 311,75;$ 725.130,50;$ 145.026,10;$ 580.104,40;$ 525.094,50;$ 55.009,90;5/5/2017;5; May ;2017
Public Sector;France;Hybrid; Medium ;2301;$ 215,00;$ 311,75;$ 717.336,75;$ 143.467,35;$ 573.869,40;$ 519.450,75;$ 54.418,65;5/9/2017;9; September ;2017
Corporate;Finland;Hybrid; High ;2275;$ 215,00;$ 311,75;$ 709.231,25;$ 177.307,81;$ 531.923,44;$ 513.581,25;$ 18.342,19;5/5/2017;5; May ;2017
Retail Partner;Germany;Hybrid; High ;2209;$ 215,00;$ 311,75;$ 688.655,75;$ 172.163,94;$ 516.491,81;$ 498.681,75;$ 17.810,06;5/9/2017;9; September ;2017
Public Sector;France;Hybrid; None ;2200;$ 215,00;$ 311,75;$ 685.850,00;    ;$ 685.850,00;$ 496.650,00;$ 189.200,00;5/5/2017;5; May ;2017
Public Sector;Germany;Hybrid; High ;2187;$ 215,00;$ 311,75;$ 681.797,25;$ 170.449,31;$ 511.347,94;$ 493.715,25;$ 17.632,69;5/3/2017;3; March ;2017
Public Sector;Germany;Hybrid; High ;2103;$ 215,00;$ 311,75;$ 655.610,25;$ 163.902,56;$ 491.707,69;$ 474.752,25;$ 16.955,44;5/1/2017;1; January ;2017
Retail Partner;Germany;Hybrid; High ;2059;$ 215,00;$ 311,75;$ 641.893,25;$ 160.473,31;$ 481.419,94;$ 464.819,25;$ 16.600,69;5/8/2017;8; August ;2017
Individual;Finland;Hybrid; High ;2038;$ 215,00;$ 311,75;$ 635.346,50;$ 158.836,63;$ 476.509,88;$ 460.078,50;$ 16.431,38;5/11/2017;11; November ;2017
